bidder-code,bidder-name,banner,video,native,schain,dchain,tcfeu,coppa,gpp,usp,safeframes,deals,client-adapter,server-adapter,user-ids,mobile-apps,floors,fpd,prebid-member,ortb-blocking,multiformat,aliasOf,adapterFilename
unibots,Unibots,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,no,none,no,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
unicorn,UNICORN,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,yes,none,yes,check with bidder,check with bidder,no,check with bidder,check with bidder,,unicornBidAdapter
uniquest,UNIQUEST,yes,no,no,no,no,no,no,none,no,check with bidder,no,yes,no,none,check with bidder,no,no,no,no,"none",,uniquestBidAdapter
uniquest_widget,UNIQUEST Widget,yes,no,no,no,no,no,no,none,no,check with bidder,no,yes,no,none,check with bidder,no,no,no,no,"none",,uniquest_widgetBidAdapter
unruly,Unruly,yes,yes,no,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,all,yes,yes,yes,no,check with bidder,check with bidder,,unrulyBidAdapter
uol,UOL,yes,yes,yes,yes,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,appnexus,appnexusBidAdapter
urekamedia,UrekaMedia,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,no,none,no,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
vaayaMedia,Vaaya Media,yes,yes,no,yes,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,no,all,check with bidder,no,no,no,yes,"will-bid-on-one",limelightDigital,limelightDigitalBidAdapter
valuad,Valuad,yes,no,no,yes,no,yes,yes,usstate_all,yes,yes,yes,yes,no,none,check with bidder,yes,check with bidder,no,no,check with bidder,,valuadBidAdapter
valueimpression,Valueimpression,yes,yes,no,yes,check with bidder,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,yes,all,yes,yes,check with bidder,no,check with bidder,check with bidder,apacdex,apacdexBidAdapter
vdoai,VDO.AI,yes,yes,no,yes,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,no,all,check with bidder,no,no,no,yes,"will-bid-on-one",,vdoaiBidAdapter
velonium,Velonium,yes,yes,no,yes,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,all,check with bidder,no,no,no,yes,"will-bid-on-one",limelightDigital,limelightDigitalBidAdapter
ventes,ventes,yes,no,no,no,no,no,no,check with bidder,no,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,ventesBidAdapter
vertamedia,Vertamedia,yes,yes,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,vertamediaBidAdapter
viantOrtb,Viant,yes,yes,yes,yes,no,no,yes,None,yes,check with bidder,yes,yes,no,none,check with bidder,yes,no,yes,no,"will-bid-on-one",,viantOrtbBidAdapter
vibrantmedia,Vibrant Media,yes,yes,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,vibrantmediaBidAdapter
vidazoo,Vidazoo,yes,yes,no,check with bidder,check with bidder,yes,check with bidder,some (check with bidder),yes,check with bidder,check with bidder,yes,yes,britepoolId  criteo  id5Id  identityLink  liveIntentId  netId  parrableId  pubCommonId  unifiedId,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,vidazooBidAdapter
vidcrunch,VidCrunch,yes,yes,no,yes,check with bidder,yes,check with bidder,tcfeu  tcfca  usnat  usstate_all  usp,yes,yes,check with bidder,yes,no,all,check with bidder,yes,check with bidder,no,yes,"will-bid-on-any",aniview,aniviewBidAdapter
vidcrunchllc,VidCrunch LLC,yes,yes,no,yes,check with bidder,yes,yes,some (check with bidder),yes,yes,no,yes,no,britepoolId  criteo  id5Id  identityLink  liveIntentId  netId  parrableId  pubCommonId  unifiedId,check with bidder,check with bidder,check with bidder,yes,check with bidder,check with bidder,adtelligent,adtelligentBidAdapter
videobyte,VideoByte,yes,yes,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,yes,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,videobyteBidAdapter
videoheroes,VideoHeroes,yes,yes,yes,yes,check with bidder,no,yes,check with bidder,yes,yes,check with bidder,yes,yes,none,yes,yes,check with bidder,no,check with bidder,check with bidder,,videoheroesBidAdapter
videonow,videonow,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,videonowBidAdapter
videoreach,Video Reach,yes,yes,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,videoreachBidAdapter
vidoomy,Vidoomy,yes,yes,no,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,all,check with bidder,yes,check with bidder,no,yes,check with bidder,,vidoomyBidAdapter
viewdeos,Viewdeos Server,yes,yes,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,no,yes,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,viewdeosBidAdapter
viewdeosDX,ViewdeosDX Client,yes,yes,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,viewdeosDXBidAdapter
viously,Viously,yes,yes,no,no,check with bidder,yes,check with bidder,check with bidder,yes,yes,no,yes,no,none,check with bidder,no,no,no,no,"will-bid-on-one",,viouslyBidAdapter
viqeo,viqeo,yes,yes,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,yes,check with bidder,no,check with bidder,check with bidder,,viqeoBidAdapter
visiblemeasures,VisibleMeasures,yes,yes,yes,yes,check with bidder,no,yes,check with bidder,yes,yes,check with bidder,yes,yes,none,yes,yes,check with bidder,no,check with bidder,"will-not-bid",,visiblemeasuresBidAdapter
vistars,Vistars,yes,yes,no,check with bidder,check with bidder,no,no,check with bidder,no,yes,no,yes,no,none,check with bidder,yes,no,no,no,"will-bid-on-one",,vistarsBidAdapter
visx,YOC VIS.X,yes,yes,no,yes,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,yes,yes,yes,all,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,visxBidAdapter
vlyby,VLYBY,yes,yes,no,no,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,vlybyBidAdapter
voisetech,Voise Tech,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,no,none,no,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
vox,VOX,yes,yes,no,yes,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,yes,all,check with bidder,yes,check with bidder,no,check with bidder,check with bidder,,voxBidAdapter
vrtcal,VRTCAL Markets Inc.,yes,yes,yes,yes,check with bidder,yes,yes,some (check with bidder),yes,check with bidder,check with bidder,yes,yes,all,check with bidder,yes,check with bidder,no,check with bidder,check with bidder,,vrtcalBidAdapter
vungle,vungle,yes,yes,no,yes,no,no,yes,None,yes,check with bidder,yes,no,yes,none,yes,yes,no,no,partial,"will-bid-on-one",,vungleBidAdapter
vuukle,Vuukle,yes,no,no,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,yes,check with bidder,check with bidder,,vuukleBidAdapter
waardex,waardex,yes,yes,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,waardexBidAdapter
waardex_ak,WaardeX,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,no,none,no,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
welect,Welect,no,yes,no,no,no,yes,no,tcfeu,no,check with bidder,check with bidder,yes,no,none,check with bidder,no,no,no,no,"will-bid-on-one",,welectBidAdapter
widespace,Widespace,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,widespaceBidAdapter
winr,WINR,yes,no,no,yes,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,no,criteo  unifiedId  netId  identityLink  uid2,check with bidder,yes,check with bidder,no,check with bidder,check with bidder,,winrBidAdapter
wipes,WIPES,yes,yes,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,wipesBidAdapter
,Xapads,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,no,yes,none,yes,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
xe,xe.works,yes,yes,no,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,none,check with bidder,yes,check with bidder,yes,check with bidder,"will-bid-on-any",,xeBidAdapter
xendiz,Xendiz,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,xendizBidAdapter
xtrmqb,XTRM QB,yes,yes,yes,yes,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,no,yes,all,check with bidder,no,no,no,yes,"will-bid-on-one",limelightDigital,limelightDigitalBidAdapter
yahooAds,Yahoo Advertising,yes,yes,no,yes,check with bidder,yes,yes,some (check with bidder),yes,check with bidder,check with bidder,yes,yes,All,check with bidder,yes,no,yes,check with bidder,check with bidder,,yahooAdsBidAdapter
yandex,Yandex,yes,no,yes,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,yes,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,yandexBidAdapter
yeahmobi,YeahMobi,yes,no,yes,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,no,yes,none,check with bidder,check with bidder,check with bidder,yes,check with bidder,check with bidder,,yeahmobiBidAdapter
yieldbot,Yieldbot,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,yieldbotBidAdapter
yieldlab,Yieldlab,yes,yes,yes,yes,check with bidder,yes,no,check with bidder,no,check with bidder,yes,yes,yes,britepoolId  criteo  id5Id  identityLink  liveIntentId  netId  parrableId  pubCommonId  unifiedId,yes,yes,yes,yes,no,"will-bid-on-any",,yieldlabBidAdapter
yieldlift,YieldLift,yes,no,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,yieldliftBidAdapter
yieldlove,Yieldlove,yes,no,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,yes,check with bidder,yes,no,none,check with bidder,no,check with bidder,no,check with bidder,check with bidder,,yieldloveBidAdapter
yieldmo,Yieldmo,yes,yes,no,yes,check with bidder,yes,check with bidder,some (check with bidder),yes,check with bidder,check with bidder,yes,yes,pubCommonId  unifiedId  criteo  sharedId,check with bidder,check with bidder,check with bidder,yes,check with bidder,check with bidder,,yieldmoBidAdapter
yieldnexus,Yield Nexus,yes,yes,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,yieldnexusBidAdapter
yieldone,YieldOne,yes,yes,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,yes,identityLink  imuid  AudienceOne ID  ID5  UID2.0,check with bidder,check with bidder,check with bidder,no,check with bidder,"will-bid-on-any",,yieldoneBidAdapter
yobee,Yobee,yes,yes,yes,yes,no,yes,yes,tcfeu  tcfca  usnat  usstate_all  usp,yes,yes,check with bidder,yes,yes,all,check with bidder,yes,check with bidder,no,check with bidder,"will-bid-on-any",admatic,admaticBidAdapter
zentotem,Zentotem,yes,yes,yes,no,no,no,check with bidder,none,check with bidder,check with bidder,yes,yes,yes,none,check with bidder,yes,check with bidder,no,no,"will-bid-on-one",,zentotemBidAdapter
zeroclickfraud,ZeroClickFraud,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,no,yes,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,zeroclickfraudBidAdapter
zeta,Zeta Global,yes,no,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,no,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,zetaBidAdapter
zeta_global_ssp,Zeta Global SSP,yes,yes,no,yes,check with bidder,yes,yes,some (check with bidder),yes,check with bidder,no,yes,yes,all,check with bidder,yes,yes,yes,check with bidder,check with bidder,,zeta_global_sspBidAdapter
zmaticoo,zMaticoo,yes,no,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,yes,no,yes,no,none,check with bidder,check with bidder,check with bidder,no,partial,check with bidder,,zmaticooBidAdapter

