bidder-code,bidder-name,banner,video,native,schain,dchain,tcfeu,coppa,gpp,usp,safeframes,deals,client-adapter,server-adapter,user-ids,mobile-apps,floors,fpd,prebid-member,ortb-blocking,multiformat,aliasOf,adapterFilename
openwebxchange,OpenWebXChange,yes,yes,yes,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,no,all,check with bidder,yes,check with bidder,no,check with bidder,"will-bid-on-any",,openwebxchangeBidAdapter
openx,OpenX,yes,yes,yes,yes,check with bidder,yes,yes,some (check with bidder),yes,check with bidder,check with bidder,yes,yes,admixerId  adtelligentId  amxId  britepoolId  criteo  dapId  deepintentId  dmdId  fabrickId  hadronId  id5Id  identityLink  idxId  imuId  intentIqId  kinessoId  liveIntentId  lotamePanoramaId  merkleId  mwOpenLinkId  naveggId  netId  novatiq  parrableId  pubCommonId  publinkId  sharedId  tapadId  uid2  unifiedId  verizonMediaId  zeotapIdPlus,check with bidder,yes,yes,yes,check with bidder,check with bidder,,openxBidAdapter
openxoutstream,OpenX Outstream,yes,no,yes,check with bidder,check with bidder,no,yes,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,yes,check with bidder,check with bidder,,openxoutstreamBidAdapter
operaads,OperaAds,yes,yes,yes,yes,no,yes,yes,check with bidder,no,check with bidder,no,yes,yes,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,operaadsBidAdapter
oppamedia,OppaMedia,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,no,none,no,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
oprx,OptimizeRx,yes,no,no,no,no,no,no,check with bidder,no,yes,no,yes,no,none,yes,yes,no,no,no,"will-not-bid",,oprxBidAdapter
opsco,OpsCo,yes,no,no,yes,check with bidder,no,no,check with bidder,yes,yes,no,yes,no,none,check with bidder,no,no,no,no,check with bidder,,opscoBidAdapter
optable,Optable,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,yes,check with bidder,check with bidder,,optableBidAdapter
optidigital,Optidigital,yes,no,no,yes,check with bidder,yes,check with bidder,tcfeu  usnat  usp,yes,yes,check with bidder,yes,yes,all,check with bidder,yes,check with bidder,yes,yes,check with bidder,,optidigitalBidAdapter
optimatic,Optimatic,yes,yes,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,optimaticBidAdapter
optimera,Optimera,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,optimeraBidAdapter
optout,Opt Out Advertising,yes,no,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,yes,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,optoutBidAdapter
oraki,Oraki,yes,yes,yes,yes,check with bidder,no,yes,usstate_all,yes,yes,no,yes,yes,all,yes,yes,no,no,no,"will-bid-on-one",,orakiBidAdapter
orangeclickmedia,OCM Media,yes,yes,no,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,all,check with bidder,no,no,no,yes,"will-bid-on-one",limelightDigital,limelightDigitalBidAdapter
orbidder,Orbidder,yes,no,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,yes,none,check with bidder,yes,check with bidder,no,check with bidder,check with bidder,,orbidderBidAdapter
